SpotifyURI,Acousticness,Danceability,DurationMS,DynamicRange,Energy,Explicit,Instrumentalness,Key,Liveness,Loudness,Mode,Popularity,ReleaseDate,Sections,Speechiness,Tempo,TimeSignature,Valence,Hot
spotify:track:7A20WnLkjtZU2d7hIB6Ziu,0.077,0.8859999999999999,158692,14.986,0.479,1,0.0,4,0.135,-8.054,0,80,2019-12-06,6,0.334,130.029,4,0.408,1
spotify:track:3Qa944OTMZkg8DHjET8JQv,0.135,0.779,286387,19.997,0.362,0,0.206,0,0.111,-10.847,1,78,2020-01-17,12,0.0474,85.01100000000002,4,0.46,1
spotify:track:5M8goiFYynmNxhueYW6grR,0.111,0.463,194867,12.050999999999998,0.653,0,0.000136,0,0.172,-5.515,1,74,2019-12-13,9,0.0273,143.912,4,0.233,1
spotify:track:3VyjsVV24RmBIbWJAeUJNu,0.5579999999999999,0.6559999999999999,153750,15.206,0.614,0,0.0008619999999999999,6,0.215,-4.973,0,90,2019-05-29,7,0.102,128.03799999999998,4,0.35,1
spotify:track:6U0FIYXCQ3TGrk4tFpLrEA,0.449,0.453,204533,5.858,0.5379999999999999,1,0.0,1,0.19,-8.212,1,90,2019-08-23,8,0.0638,122.973,4,0.516,1
spotify:track:0xKBkLcF71uUQeTA7FSu4A,0.188,0.846,160720,29.885000000000005,0.748,1,0.0,5,0.093,-3.512,0,69,2020-01-31,6,0.078,90.006,4,0.597,1
spotify:track:1OuN92HcVG6NVpWbeESNB3,0.0333,0.875,256507,6.737,0.599,0,0.0143,9,0.113,-9.077,0,78,2020-01-17,11,0.138,152.061,4,0.112,1
spotify:track:7HMmFQsKsljwTw8bS7lu19,0.208,0.838,220590,8.068000000000001,0.545,0,8.01e-05,5,0.103,-6.712999999999999,1,90,2020-01-10,11,0.0706,114.998,4,0.631,1
spotify:track:7qeWNGBqqagdwf4KnjRzGZ,0.0034100000000000003,0.8740000000000001,164754,19.01,0.847,1,0.0,2,0.29,-3.574,1,77,2020-01-10,6,0.233,134.965,4,0.8809999999999999,1
spotify:track:34d7sGX6WUqq8f04e7CSNF,0.0134,0.871,200573,39.02,0.493,1,0.000241,1,0.385,-6.356,1,79,2020-01-17,7,0.205,144.989,4,0.0495,1
