SpotifyURI,Acousticness,Danceability,DurationMS,DynamicRange,Energy,Explicit,Instrumentalness,Key,Liveness,Loudness,Mode,Popularity,ReleaseDate,Sections,Speechiness,Tempo,TimeSignature,Valence,Hot
spotify:track:3qGW04xvrW54wBrtOGicJQ,0.005229999999999999,0.41600000000000004,190207,20.413,0.888,0,0.879,8,0.14,-4.414,1,0,2019-03-08,7,0.0508,140.026,4,0.0516,0
spotify:track:6VmZ2IBnyDeSh38MOwMZCD,0.0151,0.654,108747,13.136,0.527,0,0.0185,9,0.10800000000000001,-8.916,0,0,2007-01-01,6,0.0403,127.705,1,0.128,0
spotify:track:7ilCM5aaKLzIZGb1MzTcfJ,0.517,0.44,202747,34.354,0.237,0,0.929,2,0.109,-13.45,1,1,2009-09-18,8,0.0477,116.49799999999999,4,0.0779,0
spotify:track:251JpbrxKp7SY3s8FWlIzL,0.2,0.6970000000000001,256008,24.002,0.535,0,0.0,1,0.395,-7.935,1,0,2017-12-23,8,0.387,74.959,4,0.40299999999999997,0
spotify:track:49oDr6H1oIKgJ7z3r63DA8,0.8140000000000001,0.313,112133,26.22,0.29,0,0.94,8,0.111,-14.445,1,23,2018-12-07,5,0.0373,103.48100000000001,3,0.0367,0
spotify:track:17cZzxOSjH1qUbztwbsWk4,0.121,0.7809999999999999,225053,1.4259999999999993,0.727,1,0.0,1,0.35,-5.693,0,8,2006-10-24,7,0.315,95.266,4,0.674,0
spotify:track:4SPcLbb9QiNMBQBregRD2w,0.0301,0.506,239283,28.803,0.7929999999999999,0,0.895,7,0.235,-9.46,1,0,2018-06-14,6,0.449,175.787,4,0.22,0
spotify:track:6wipdHyx38Kgfs59zBhMhh,0.000466,0.353,116200,0.8040000000000003,0.8340000000000001,0,0.6609999999999999,2,0.0852,-6.5729999999999995,1,0,2017-07-25,6,0.0372,138.202,4,0.327,0
spotify:track:0LPAukR2dD1OP5KXUEkHfB,0.843,0.597,287573,16.261000000000006,0.282,0,0.74,9,0.111,-17.904,1,6,2011-04-04,14,0.0356,156.031,3,0.265,0
spotify:track:5S89Ngaa4lHSAd4xCkvnx7,0.501,0.271,194413,12.887,0.539,0,0.715,10,0.17,-10.013,1,0,2012-02-29,6,0.0439,115.613,4,0.336,0
spotify:track:6zQXxhbEHKZohfto8sXPoh,0.9890000000000001,0.542,115295,26.455,0.33399999999999996,0,0.903,5,0.115,-10.196,1,0,2019-04-30,8,0.0349,94.065,4,0.40700000000000003,0
spotify:track:44PWiWbMXJxu6ybzmKBiC5,0.9420000000000001,0.185,236133,23.497,0.075,0,0.8109999999999999,5,0.11800000000000001,-21.474,1,0,2009-09-22,15,0.0371,169.558,3,0.0518,0
